title,url,time,source,file_type,file_type_2
大数据学院学生离校请销假管理规定,http://sds.ustc.edu.cn/2021/1111/c15443a532371/page.htm,2022-11-28,大数据学院,,
公务用车平台设置使用手册,http://sds.ustc.edu.cn/2022/0628/c15443a561056/page.htm,2022-06-28,大数据学院,,
主题团日活动项目审批表,http://sds.ustc.edu.cn/2022/0519/c15443a555203/page.htm,2022-05-19,大数据学院,,
主题党日活动项目审批表,http://sds.ustc.edu.cn/2022/0519/c15443a555202/page.htm,2022-05-19,大数据学院,,
大数据学院网站信息发布审核制度,http://sds.ustc.edu.cn/2021/1122/c15443a535477/page.htm,2021-11-22,大数据学院,,
数据科学研究生学习培养过程要求,http://sds.ustc.edu.cn/_upload/article/files/bd/e3/629713734469b19b77bf595cb9e8/27da128b-0322-4641-b416-0ec1199f6072.pdf,2018-09-12,大数据学院,,
数据科学研究生培养方案,http://sds.ustc.edu.cn/_upload/article/files/f7/56/4ec1e375456eb03f218bab8f8c46/a472e153-1bd1-44d1-b669-b0c20dd327d8.pdf,2018-09-12,大数据学院,,
2023年奖学金通知下载,https://stuhome.ustc.edu.cn/2023/0317/c2310a595418/page.htm,2023-03-17,学工在线,,
2023年度助学项目申请表,https://stuhome.ustc.edu.cn/2023/0926/c2310a613449/page.htm,2023-09-26,学工在线,,
本科生火车票优惠卡乘车区间变更申请表,https://stuhome.ustc.edu.cn/2023/0915/c2310a612308/page.htm,2023-09-15,学工在线,,
本科生入校毕业档案管理操作手册,https://stuhome.ustc.edu.cn/2023/0713/c2310a608439/page.htm,2023-07-13,学工在线,,
本科生档案调阅申请表,https://stuhome.ustc.edu.cn/2023/0706/c2310a608020/page.htm,2023-07-06,学工在线,,
中国科学学技术大学学生临时困难补助申请表2023版,https://stuhome.ustc.edu.cn/2023/0425/c2310a600499/page.htm,2023-04-25,学工在线,,
2022年度郭沫若奖学金评审通知及附件,http://xgyth.ustc.edu.cn/usp/home/uploadfile/637304913652120123/638040379206395219.rar,2022-11-14,学工在线,,
2022年国仪工匠奖学金通知及附件,https://stuhome.ustc.edu.cn/2022/0928/c2310a571732/page.htm,2022-09-28,学工在线,,
2022年牛津仪器明日之星奖学金通知及附件,https://stuhome.ustc.edu.cn/2022/0928/c2310a571730/page.htm,2022-09-28,学工在线,,
2022年专项奖学金通知及附件,http://xgyth.ustc.edu.cn/usp/home/uploadfile/637304913652120123/638000706561238925.rar,2022-09-26,学工在线,,
2022年宝钢奖学金发文材料,http://xgyth.ustc.edu.cn/usp/home/uploadfile/637304913652120123/637980597266167757.rar,2022-09-06,学工在线,,
中国科学技术大学本科生信息采集表,https://stuhome.ustc.edu.cn/2022/0830/c2310a566117/page.htm,2022-08-30,学工在线,,
本科生毕业去向导入模板,https://stuhome.ustc.edu.cn/2022/0830/c2310a566116/page.htm,2022-08-30,学工在线,,
禁毒歌曲《生命》MP4,https://stuhome.ustc.edu.cn/2022/0607/c2310a557554/page.htm,2022-06-07,学工在线,,
禁毒宣传公益短片——逝去的幸福,https://stuhome.ustc.edu.cn/2022/0607/c2310a557553/page.htm,2022-06-07,学工在线,,
禁毒宣传公益短片——无孔不入的第三代毒品,https://stuhome.ustc.edu.cn/2022/0607/c2310a557552/page.htm,2022-06-07,学工在线,,
禁毒宣传公益短片——别让“我以为”变成“我后悔”,https://stuhome.ustc.edu.cn/2022/0607/c2310a557551/page.htm,2022-06-07,学工在线,,
禁毒宣传公益短片——青春不是挥霍的筹码,https://stuhome.ustc.edu.cn/2022/0607/c2310a557550/page.htm,2022-06-07,学工在线,,
2022届本科毕业生工作日程表,https://stuhome.ustc.edu.cn/2022/0517/c2310a554678/page.htm,2022-05-17,学工在线,,
2022届本科毕业生离校指南,https://stuhome.ustc.edu.cn/2022/0517/c2310a554677/page.htm,2022-05-17,学工在线,,
2022年郭永怀奖学金发文材料,http://xgyth.ustc.edu.cn/usp/home/uploadfile/637304913652120123/637838206522245178.rar,2022-03-25,学工在线,,
2022年中国科学院院长奖学金发文材料,http://xgyth.ustc.edu.cn/usp/home/uploadfile/637304913652120123/637838204541203172.rar,2022-03-25,学工在线,,
